PassengerId,Survived,Pclass,Name,Sex,SibSp,Parch,Ticket,Fare,Embarked,Family Size,Title,Fare_log,oe__Pclass,oe__Title,ohe__Sex_female,ohe__Sex_male,ohe__Embarked_C,ohe__Embarked_Q,ohe__Embarked_S,remainder__PassengerId,remainder__Survived,remainder__Name,remainder__SibSp,remainder__Parch,remainder__Ticket,remainder__Fare,remainder__Family Size,remainder__Fare_log
1,0,3,"Braund, Mr. Owen Harris",male,1,0,A/5 21171,0.0041597540743632,S,2,Mr,1.981001468866584,2.0,12.0,0.0,1.0,0.0,0.0,1.0,1,0,"Braund, Mr. Owen Harris",1,0,A/5 21171,0.0041597540743632,2,1.981001468866584
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,1,0,PC 17599,0.3166087635405484,C,2,Mrs,4.26666207838721,0.0,13.0,1.0,0.0,1.0,0.0,0.0,2,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,PC 17599,0.3166087635405484,2,4.26666207838721
3,1,3,"Heikkinen, Miss. Laina",female,0,0,STON/O2. 3101282,0.0074534009954132,S,1,Miss,2.0700223197633445,2.0,9.0,1.0,0.0,0.0,0.0,1.0,3,1,"Heikkinen, Miss. Laina",0,0,STON/O2. 3101282,0.0074534009954132,1,2.0700223197633445
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,1,0,113803,0.2278837708597638,S,2,Mrs,3.972176928247893,0.0,13.0,1.0,0.0,0.0,0.0,1.0,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,113803,0.2278837708597638,2,3.972176928247893
5,0,3,"Allen, Mr. William Henry",male,0,0,373450,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,5,0,"Allen, Mr. William Henry",0,0,373450,0.0080633356104225,1,2.0856720914304723
6,0,3,"Moran, Mr. James",male,0,0,330877,0.0100556260368888,Q,1,Mr,2.135148207799377,2.0,12.0,0.0,1.0,0.0,1.0,0.0,6,0,"Moran, Mr. James",0,0,330877,0.0100556260368888,1,2.135148207799377
7,0,1,"McCarthy, Mr. Timothy J",male,0,0,17463,0.221845418171172,S,1,Mr,3.948595985658986,0.0,12.0,0.0,1.0,0.0,0.0,1.0,7,0,"McCarthy, Mr. Timothy J",0,0,17463,0.221845418171172,1,3.948595985658986
8,0,3,"Palsson, Master. Gosta Leonard",male,3,1,349909,0.0716185224943885,S,5,Master,3.048087503887919,2.0,8.0,0.0,1.0,0.0,0.0,1.0,8,0,"Palsson, Master. Gosta Leonard",3,1,349909,0.0716185224943885,5,3.048087503887919
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,0,2,347742,0.0231082267980872,S,3,Mrs,2.409940617298087,2.0,13.0,1.0,0.0,0.0,0.0,1.0,9,1,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,2,347742,0.0231082267980872,3,2.409940617298087
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,1,0,237736,0.1155133209719917,C,2,Mrs,3.4035546012358333,1.0,13.0,1.0,0.0,1.0,0.0,0.0,10,1,"Nasser, Mrs. Nicholas (Adele Achem)",1,0,237736,0.1155133209719917,2,3.4035546012358333
11,1,3,"Sandstrom, Miss. Marguerite Rut",female,1,1,PP 9549,0.0502708109690641,S,3,Miss,2.815408719422709,2.0,9.0,1.0,0.0,0.0,0.0,1.0,11,1,"Sandstrom, Miss. Marguerite Rut",1,1,PP 9549,0.0502708109690641,3,2.815408719422709
12,1,1,"Bonnell, Miss. Elizabeth",female,0,0,113783,0.0983336586317946,S,1,Miss,3.279029747687948,0.0,9.0,1.0,0.0,0.0,0.0,1.0,12,1,"Bonnell, Miss. Elizabeth",0,0,113783,0.0983336586317946,1,3.279029747687948
13,0,3,"Saundercock, Mr. William Henry",male,0,0,A/5. 2151,0.0080633356104225,S,1,Mr,2.0856720914304723,2.0,12.0,0.0,1.0,0.0,0.0,1.0,13,0,"Saundercock, Mr. William Henry",0,0,A/5. 2151,0.0080633356104225,1,2.0856720914304723
14,0,3,"Andersson, Mr. Anders Johan",male,1,5,347082,0.1213891870791451,S,7,Mr,3.442819056352975,2.0,12.0,0.0,1.0,0.0,0.0,1.0,14,0,"Andersson, Mr. Anders Johan",1,5,347082,0.1213891870791451,7,3.442819056352975
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",female,0,0,350406,0.007107934029472,S,1,Miss,2.061048420562944,2.0,9.0,1.0,0.0,0.0,0.0,1.0,15,0,"Vestrom, Miss. Hulda Amanda Adolfina",0,0,350406,0.007107934029472,1,2.061048420562944
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",female,0,0,248706,0.0468551771250121,S,1,Mrs,2.772588722239781,1.0,13.0,1.0,0.0,0.0,0.0,1.0,16,1,"Hewlett, Mrs. (Mary D Kingcome) ",0,0,248706,0.0468551771250121,1,2.772588722239781
17,0,3,"Rice, Master. Eugene",male,4,1,382652,0.1108983117009856,Q,6,Master,3.371596911885865,2.0,8.0,0.0,1.0,0.0,1.0,0.0,17,0,"Rice, Master. Eugene",4,1,382652,0.1108983117009856,6,3.371596911885865
18,1,2,"Williams, Mr. Charles Eugene",male,0,0,244373,0.0322167463647896,S,1,Mr,2.5649493574615367,1.0,12.0,0.0,1.0,0.0,0.0,1.0,18,1,"Williams, Mr. Charles Eugene",0,0,244373,0.0322167463647896,1,2.5649493574615367
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,1,0,345763,0.0566141309651605,S,2,Mrs,2.8903717578961645,2.0,13.0,1.0,0.0,0.0,0.0,1.0,19,0,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0,345763,0.0566141309651605,2,2.8903717578961645
20,1,3,"Masselmani, Mrs. Fatima",female,0,0,2649,0.0040377671513613,C,1,Mrs,1.977547233998496,2.0,13.0,1.0,0.0,1.0,0.0,0.0,20,1,"Masselmani, Mrs. Fatima",0,0,2649,0.0040377671513613,1,1.977547233998496
